Date;TAVG;TMAX;TMIN;PRCP;SNOW;SNWD
01/10/2021;80;86;;;;
02/10/2021;80;87;;;;
03/10/2021;78;85;;;;
04/10/2021;78;83;73;;;
05/10/2021;76;82;74;;;
06/10/2021;76;81;73;;;
07/10/2021;78;;73;;;
08/10/2021;80;86;73;;;
09/10/2021;81;85;74;;;
10/10/2021;80;;;;;
11/10/2021;80;86;73;;;
12/10/2021;80;87;;;;
13/10/2021;80;85;72;;;
14/10/2021;81;87;76;;;
15/10/2021;82;88;76;;;
16/10/2021;82;89;;;;
17/10/2021;82;86;;;;
18/10/2021;83;90;69;;;
19/10/2021;82;;;;;
20/10/2021;84;89;77;;;
21/10/2021;83;90;79;;;
22/10/2021;83;88;;;;
23/10/2021;82;87;;;;
24/10/2021;82;;75;;;
25/10/2021;82;88;76;;;
26/10/2021;82;88;77;;;
27/10/2021;82;88;;;;
28/10/2021;83;88;76;;;
29/10/2021;82;89;;;;
30/10/2021;80;87;76;;;
31/10/2021;81;89;76;;;
01/11/2021;79;;;;;
02/11/2021;79;88;74;;;
03/11/2021;82;87;74;;;
04/11/2021;80;89;75;;;
05/11/2021;81;89;75;;;
06/11/2021;83;89;76;;;
07/11/2021;83;91;76;;;
08/11/2021;83;91;77;;;
09/11/2021;83;;75;;;
10/11/2021;80;88;;;;
11/11/2021;79;84;;;;
12/11/2021;80;86;76;;;
13/11/2021;81;;76;;;
14/11/2021;80;;;;;
15/11/2021;79;87;75;;;
16/11/2021;81;86;74;;;
17/11/2021;80;87;;;;
18/11/2021;82;88;75;;;
19/11/2021;80;;75;;;
20/11/2021;77;88;;;;
21/11/2021;80;89;73;;;
22/11/2021;81;88;;;;
23/11/2021;82;90;76;;;
24/11/2021;80;91;;;;
25/11/2021;81;88;74;;;
26/11/2021;82;87;75;;;
27/11/2021;81;90;;;;
28/11/2021;77;86;;;;
29/11/2021;76;;;;;
30/11/2021;79;85;73;;;
01/12/2021;79;84;73;;;
02/12/2021;80;;75;;;
03/12/2021;80;89;;;;
04/12/2021;81;;75;;;
05/12/2021;81;90;;;;
06/12/2021;82;90;75;;;
07/12/2021;81;;;;;
08/12/2021;82;90;75;;;
09/12/2021;83;91;76;;;
10/12/2021;83;90;76;;;
11/12/2021;83;91;76;;;
12/12/2021;83;91;76;;;
13/12/2021;83;;76;;;
14/12/2021;80;91;;;;
15/12/2021;81;91;74;;;
16/12/2021;84;90;;;;
17/12/2021;84;91;77;;;
18/12/2021;85;92;77;;;
19/12/2021;82;88;;;;
20/12/2021;81;90;75;;;
21/12/2021;82;89;75;;;
22/12/2021;83;89;77;;;
23/12/2021;83;90;76;;;
24/12/2021;82;90;77;;;
25/12/2021;83;90;;;;
26/12/2021;85;94;76;;;
27/12/2021;86;94;78;;;
28/12/2021;83;92;77;;;
29/12/2021;79;88;76;;;
30/12/2021;78;87;;;;
31/12/2021;77;86;;;;
01/01/2022;79;85;75;;;
02/01/2022;78;87;74;;;
03/01/2022;81;88;75;;;
04/01/2022;82;87;75;;;
05/01/2022;79;85;75;;;
06/01/2022;80;89;74;;;
07/01/2022;77;88;;;;
08/01/2022;81;87;72;;;
09/01/2022;78;90;;;;
10/01/2022;80;87;74;;;
11/01/2022;78;87;;;;
12/01/2022;81;88;73;;;
13/01/2022;80;;;;;
14/01/2022;82;;73;;;
15/01/2022;78;88;;;;
16/01/2022;82;89;73;;;
17/01/2022;81;91;73;;;
18/01/2022;77;85;;;;
19/01/2022;77;90;73;;;
20/01/2022;80;87;74;;;
21/01/2022;81;88;74;;;
22/01/2022;81;;;;;
23/01/2022;84;93;76;;;
24/01/2022;84;91;76;;;
25/01/2022;84;93;77;;;
26/01/2022;82;;;;;
27/01/2022;82;89;74;;;
28/01/2022;78;88;;;;
29/01/2022;82;89;73;;;
30/01/2022;81;88;;;;
31/01/2022;82;89;76;;;
01/02/2022;80;88;75;;;
02/02/2022;83;89;76;;;
03/02/2022;82;91;75;;;
04/02/2022;83;91;76;;;
05/02/2022;79;88;;;;
06/02/2022;81;89;74;;;
07/02/2022;83;93;76;;;
08/02/2022;82;90;;;;
09/02/2022;81;89;;;;
10/02/2022;79;88;75;;;
11/02/2022;80;85;76;;;
12/02/2022;81;86;76;;;
13/02/2022;82;91;77;;;
14/02/2022;78;85;70;;;
15/02/2022;82;89;76;;;
16/02/2022;83;89;75;;;
17/02/2022;81;86;75;;;
18/02/2022;82;88;75;;;
19/02/2022;83;91;77;;;
20/02/2022;82;89;77;;;
21/02/2022;78;88;;;;
22/02/2022;83;;73;;;
23/02/2022;79;85;73;;;
24/02/2022;80;87;73;;;
25/02/2022;79;89;73;;;
26/02/2022;80;;74;;;
27/02/2022;82;88;75;;;
28/02/2022;83;90;77;;;
01/03/2022;80;88;76;;;
02/03/2022;82;89;76;;;
03/03/2022;81;90;75;;;
04/03/2022;82;89;76;;;
05/03/2022;83;92;75;;;
06/03/2022;83;90;75;;;
07/03/2022;81;91;;;;
08/03/2022;79;88;72;;;
09/03/2022;82;90;73;;;
10/03/2022;80;90;74;;;
11/03/2022;82;91;76;;;
12/03/2022;83;88;77;;;
13/03/2022;82;90;;;;
14/03/2022;82;90;76;;;
15/03/2022;83;90;77;;;
16/03/2022;84;91;76;;;
17/03/2022;85;89;;;;
18/03/2022;82;89;;;;
19/03/2022;80;88;76;;;
20/03/2022;79;88;;;;
21/03/2022;78;87;;;;
22/03/2022;80;90;73;;;
23/03/2022;79;89;74;;;
24/03/2022;80;90;;;;
25/03/2022;80;90;72;;;
26/03/2022;82;90;74;;;
27/03/2022;80;87;76;;;
28/03/2022;81;88;75;;;
29/03/2022;79;89;75;;;
30/03/2022;82;90;75;;;
31/03/2022;82;90;;;;
01/04/2022;82;89;73;;;
02/04/2022;81;;76;;;
03/04/2022;82;89;75;;;
04/04/2022;83;90;76;;;
05/04/2022;83;;76;;;
06/04/2022;82;87;;;;
07/04/2022;83;90;77;;;
08/04/2022;83;90;;;;
09/04/2022;83;91;76;;;
10/04/2022;83;91;75;;;
11/04/2022;82;90;;;;
12/04/2022;83;90;73;;;
13/04/2022;83;90;71;;;
14/04/2022;84;90;76;;;
15/04/2022;84;91;79;;;
16/04/2022;82;90;;;;
17/04/2022;84;91;77;;;
18/04/2022;82;89;78;;;
19/04/2022;79;86;;;;
20/04/2022;78;85;75;;;
21/04/2022;80;87;74;;;
22/04/2022;83;89;75;;;
23/04/2022;83;89;;;;
24/04/2022;83;91;77;;;
25/04/2022;83;89;77;;;
26/04/2022;82;89;;;;
27/04/2022;81;89;74;;;
28/04/2022;80;86;74;;;
29/04/2022;81;87;74;;;
30/04/2022;81;86;74;;;
01/05/2022;82;89;76;;;
02/05/2022;83;89;78;;;
03/05/2022;83;88;76;;;
04/05/2022;83;87;79;;;
05/05/2022;83;87;79;;;
06/05/2022;83;89;77;;;
07/05/2022;83;89;78;;;
08/05/2022;81;90;77;;;
09/05/2022;83;90;78;;;
10/05/2022;83;89;78;;;
11/05/2022;83;87;;;;
12/05/2022;84;91;77;;;
13/05/2022;83;91;78;;;
14/05/2022;84;90;78;;;
15/05/2022;83;89;77;;;
16/05/2022;83;89;76;;;
17/05/2022;83;89;76;;;
18/05/2022;82;88;77;;;
19/05/2022;82;90;77;;;
20/05/2022;82;87;76;;;
21/05/2022;83;90;76;;;
22/05/2022;82;91;76;;;
23/05/2022;83;90;75;;;
24/05/2022;84;89;78;;;
25/05/2022;83;90;79;;;
26/05/2022;77;82;;;;
27/05/2022;81;87;75;;;
28/05/2022;83;88;76;;;
29/05/2022;81;86;75;;;
31/05/2022;82;89;;;;
01/06/2022;77;83;;;;
02/06/2022;81;87;72;;;
03/06/2022;81;87;75;;;
04/06/2022;82;88;75;;;
05/06/2022;81;88;75;;;
06/06/2022;81;87;;;;
07/06/2022;80;88;75;;;
08/06/2022;82;89;75;;;
09/06/2022;82;88;76;;;
10/06/2022;82;92;75;;;
11/06/2022;82;91;75;;;
12/06/2022;81;89;75;;;
13/06/2022;80;87;76;;;
14/06/2022;80;87;;;;
15/06/2022;82;89;;;;
16/06/2022;80;88;74;;;
17/06/2022;81;87;76;;;
18/06/2022;82;87;76;;;
19/06/2022;80;87;;;;
20/06/2022;81;86;74;;;
21/06/2022;81;86;76;;;
22/06/2022;82;87;74;;;
23/06/2022;82;86;;;;
24/06/2022;81;86;;;;
25/06/2022;81;86;77;;;
26/06/2022;81;86;77;;;
27/06/2022;80;85;76;;;
28/06/2022;79;85;;;;
29/06/2022;80;85;74;;;
30/06/2022;81;86;75;;;
01/07/2022;79;82;;;;
02/07/2022;80;86;76;;;
03/07/2022;82;89;74;;;
04/07/2022;82;89;;;;
05/07/2022;81;86;;;;
06/07/2022;79;84;;;;
07/07/2022;78;83;;;;
08/07/2022;77;84;71;;;
09/07/2022;79;84;72;;;
10/07/2022;80;85;75;;;
11/07/2022;79;82;74;;;
12/07/2022;80;84;77;;;
13/07/2022;79;84;76;;;
14/07/2022;79;83;76;;;
15/07/2022;79;83;76;;;
16/07/2022;79;83;75;;;
17/07/2022;80;84;77;;;
18/07/2022;79;84;;;;
